,t,RoadType,ObservedCount,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,VehicleClass_Heavy,VehicleClass_Medium,VehicleClass_Light,FuelType_Diesel,FuelType_Unknown,FuelType_Gasoline,FuelType_Flexible,Vocation_LongHaul,Vocation_Regional,Vocation_Local,Vocation_HubAndSpoke,Vocation_DoorToDoor,NAICS_code_48,NAICS_code_44,NAICS_code_49,NAICS_code_42,NAICS_code_81,NAICS_code_23,NAICS_code_54,NAICS_code_56,NAICS_code_53,NAICS_code_31,NAICS_code_33,NAICS_code_45,NAICS_code_22,NAICS_code_92
47,15,trunk,3153.4,231.3,222.2,284.8,242.4,283.2,275.6,255.0,295.4,258.0,285.6,268.3,251.7,941.6,554.7,1581.8,1170.1,324.1,1411.6,241.8,242.8,520.5,1314.8,489.9,125.5,621.2,243.5,54.2,374.3,158.6,322.6,176.3,375.1,161.3,114.1,158.5,71.3,85.0,39.1
48,16,motorway,11028.0,811.6,759.2,984.5,864.5,972.3,962.9,892.1,1040.2,934.3,995.5,922.7,888.2,5022.0,1958.8,3864.5,5873.3,1107.0,3431.0,605.8,2726.7,2174.2,3161.8,1055.8,236.6,3648.1,641.3,398.2,1143.8,481.5,1068.4,613.0,976.9,420.6,397.5,410.5,133.8,94.3,24.4
49,16,primary,2109.0,154.5,149.6,193.5,165.1,187.8,186.1,169.1,193.4,173.8,195.1,177.2,163.7,520.7,387.0,1150.8,717.7,173.1,1035.6,177.9,152.2,329.5,900.5,303.6,119.2,374.0,166.2,33.5,242.8,85.2,254.5,149.9,273.8,74.4,71.7,95.4,51.4,50.2,37.2
50,16,trunk,2744.3,204.1,194.9,243.7,213.9,242.6,242.4,216.1,256.2,227.0,253.2,234.2,216.1,755.9,468.9,1459.3,976.3,244.6,1286.0,233.6,217.0,466.7,1181.1,357.3,123.0,519.4,177.0,44.7,305.5,121.8,342.3,189.9,326.6,138.9,109.1,131.6,63.6,62.9,29.9
51,17,motorway,8892.4,647.6,605.6,779.6,701.1,786.6,775.3,717.0,841.0,754.8,807.5,746.9,729.4,4365.7,1496.4,2878.1,4997.5,901.9,2538.8,446.2,2521.2,1767.2,2245.3,696.0,258.3,3257.9,452.4,349.7,848.6,391.6,815.6,401.4,761.8,301.9,396.1,294.8,87.8,74.0,18.0
52,17,primary,1557.8,114.0,109.2,144.2,120.6,138.7,136.7,127.6,145.6,129.3,140.5,128.8,122.5,387.0,247.8,879.8,520.3,123.7,775.8,135.0,134.6,271.3,629.1,181.5,106.7,297.5,104.6,26.5,177.5,67.2,194.7,100.2,208.7,53.5,62.9,71.1,32.8,35.5,11.7
53,17,trunk,2057.6,153.8,144.4,180.4,159.1,182.1,176.1,163.2,190.7,170.9,192.2,178.1,166.7,555.9,343.3,1110.2,723.8,181.2,958.7,191.1,186.3,380.8,853.0,215.1,117.0,396.9,115.3,36.3,212.2,93.3,272.3,129.0,263.9,90.6,113.4,98.6,44.6,50.0,12.1
54,18,motorway,7653.5,535.5,508.4,683.6,601.6,695.2,672.7,622.7,723.9,651.3,704.1,642.6,611.6,4165.0,1228.2,2112.2,4600.4,822.3,1898.9,327.9,2464.2,1526.5,1637.1,509.6,292.5,3133.1,375.2,333.6,711.8,316.4,605.9,289.4,624.7,223.4,349.6,202.2,65.8,47.0,10.8
55,18,primary,1125.0,82.8,79.2,103.3,89.1,100.6,98.0,90.6,107.7,94.5,99.8,93.2,86.0,307.6,167.7,607.5,391.4,95.4,555.6,81.4,112.1,200.1,392.2,107.4,143.2,248.7,58.4,20.7,154.1,44.9,129.4,55.3,177.1,27.5,52.1,47.3,16.2,15.6,5.8
56,18,trunk,1527.3,108.0,102.4,134.0,115.9,134.4,132.9,124.5,149.4,133.0,143.7,129.5,119.7,433.5,256.7,796.5,553.7,138.1,707.2,127.4,156.0,292.4,558.8,147.8,148.5,332.2,75.2,28.4,164.5,68.5,187.7,88.3,219.2,44.6,108.6,63.4,28.1,27.3,6.8
57,19,motorway,6778.0,473.5,441.0,618.7,538.3,612.3,604.5,545.1,619.7,564.9,622.3,578.8,556.2,4173.7,953.2,1523.1,4427.6,731.3,1386.9,227.1,2356.2,1413.2,1175.3,441.5,297.9,3074.8,324.2,325.6,673.8,271.6,421.1,197.4,484.3,161.8,315.5,142.5,51.7,25.0,7.5
58,19,primary,794.3,57.0,55.6,74.1,60.5,72.8,71.0,64.8,74.0,64.7,71.2,65.8,62.6,230.0,93.0,437.2,271.1,62.8,415.6,44.0,86.9,124.6,224.7,65.4,183.0,193.7,30.0,13.8,151.4,26.1,72.7,24.7,142.5,14.2,29.9,27.0,9.6,8.6,4.3
59,19,trunk,1099.1,76.0,77.6,99.6,80.3,100.2,94.8,91.0,106.6,93.2,101.9,90.2,88.0,351.1,152.4,562.9,417.3,93.8,510.6,77.2,128.7,203.9,340.1,89.1,178.1,272.6,44.2,19.3,151.8,48.8,120.4,45.1,167.5,24.3,71.4,37.4,18.7,13.3,5.4
60,20,motorway,5511.2,384.5,363.4,513.9,426.7,486.9,487.3,452.4,494.6,453.5,509.9,470.8,467.3,3722.9,668.2,1036.0,3820.7,604.5,943.2,140.5,1999.9,1165.1,873.5,355.0,202.1,2711.5,262.6,280.6,472.4,222.9,276.0,141.1,330.0,122.8,286.3,118.2,36.3,14.6,5.4
61,20,primary,559.0,40.3,36.6,51.5,43.0,51.1,48.8,46.4,50.8,45.6,48.9,47.3,48.7,183.2,59.5,295.5,207.2,45.0,283.4,22.8,66.9,89.8,140.3,45.7,141.1,155.9,20.5,10.2,103.3,15.2,38.8,14.9,105.5,8.3,17.7,20.0,5.9,5.2,4.1
